time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-12 00:00:00+00:00,4,3,168,6
2023-07-13 00:00:00+00:00,3,2,111,8
2023-07-14 00:00:00+00:00,3,2,146,14
2023-07-15 00:00:00+00:00,4,3,58,7
2023-07-16 00:00:00+00:00,3,2,49,6
2023-07-17 00:00:00+00:00,5,4,43,10
2023-07-18 00:00:00+00:00,5,4,156,8
2023-07-19 00:00:00+00:00,4,3,173,17
2023-07-20 00:00:00+00:00,4,3,244,16
2023-07-21 00:00:00+00:00,4,3,205,22
2023-07-22 00:00:00+00:00,4,3,113,10
2023-07-23 00:00:00+00:00,3,2,92,13
2023-07-24 00:00:00+00:00,4,3,60,13
2023-07-25 00:00:00+00:00,4,3,92,12
2023-07-26 00:00:00+00:00,4,3,97,9
2023-07-27 00:00:00+00:00,8,4,208,15
2023-07-28 00:00:00+00:00,8,4,88,9
2023-07-29 00:00:00+00:00,3,2,106,9
2023-07-30 00:00:00+00:00,4,3,101,11
2023-07-31 00:00:00+00:00,6,4,133,9
2023-08-01 00:00:00+00:00,3,2,210,16
2023-08-02 00:00:00+00:00,4,3,115,9
2023-08-03 00:00:00+00:00,4,3,91,10
2023-08-04 00:00:00+00:00,4,3,191,10
2023-08-05 00:00:00+00:00,6,4,63,7
2023-08-06 00:00:00+00:00,4,3,24,5
2023-08-07 00:00:00+00:00,5,4,64,10
2023-08-08 00:00:00+00:00,5,3,84,8
2023-08-09 00:00:00+00:00,3,2,82,7
2023-08-10 00:00:00+00:00,4,3,88,7
2023-08-11 00:00:00+00:00,7,5,71,10
2023-08-12 00:00:00+00:00,5,3,139,10
2023-08-13 00:00:00+00:00,4,3,137,12
2023-08-14 00:00:00+00:00,4,3,62,5
2023-08-15 00:00:00+00:00,4,3,114,10
2023-08-16 00:00:00+00:00,6,4,78,10
2023-08-17 00:00:00+00:00,4,3,65,7
2023-08-18 00:00:00+00:00,4,3,83,8
2023-08-19 00:00:00+00:00,8,3,155,11
2023-08-20 00:00:00+00:00,5,4,170,17
2023-08-21 00:00:00+00:00,4,3,65,6
2023-08-22 00:00:00+00:00,4,3,66,10
2023-08-23 00:00:00+00:00,4,3,163,15
2023-08-24 00:00:00+00:00,3,2,314,5
2023-08-25 00:00:00+00:00,3,2,95,9
2023-08-26 00:00:00+00:00,3,2,57,8
2023-08-27 00:00:00+00:00,3,2,133,10
2023-08-28 00:00:00+00:00,4,3,3,2
